product_name,primary_category,sugars_100g,proteins_100g,fat_100g,fiber_100g,nutriscore_grade
Pindakaas,Nuts & Seeds,9.3,23.4,48.1,8.1,c
Tuc intégral,Chips & Savoury Snacks,5.1,10.0,12.0,6.2,d
Beurre de cacahuètes,Nuts & Seeds,6.0,24.0,51.0,8.2,c
Sauce dip à la française,Spreads & Dips,11.0,1.1,30.0,,d
Mochi pistache,Candy & Chocolate,51.0,2.0,5.0,0.393590513392858,e
Confiture extra abricot bio,Spreads & Dips,41.0,0.0,0.0,1.3,d
Confiture Extra De Fraise Bio,Spreads & Dips,40.0,0.0,0.0,1.0,d
Bonbon au pain d’epices,Candy & Chocolate,57.0,6.1,29.0,1.9,e
Pindakaas,Nuts & Seeds,7.4,22.2,52.2,7.7,c
Pindakaas met stukjes pinda,Nuts & Seeds,13.0,22.2,52.2,7.7,b
Ecuador 71%,Candy & Chocolate,26.0,8.6,40.0,,e
Gocciole extra dark,Candy & Chocolate,22.4,7.4,21.7,4.3,e
Petit Sablé Cranberry framboise,Candy & Chocolate,23.0,4.7,13.0,4.2,d
Pindakaas,Nuts & Seeds,7.4,22.2,52.2,7.7,c
Grancereale Classico,Candy & Chocolate,15.5,0.69999998807907,18.5,,d
Biscuits aux fruits,Candy & Chocolate,19.2,8.0,19.7,7.5,d
Pain au chocolat,Candy & Chocolate,9.7,7.0,21.0,2.3,unknown
Carrot cake,Candy & Chocolate,25.0,5.4,20.0,,e
Turrón chocolat,Candy & Chocolate,47.0,6.5,35.4,1.0,e
Diablo gaufrette sans sucre,Candy & Chocolate,1.0,5.9,26.0,,d
All-brann prebiotic,Cereals & Granola,4.7,15.0,16.0,21.0,a
Macaron,Candy & Chocolate,49.0,0.14,27.0,2.3,e
Ricola,Candy & Chocolate,0.0,0.0,0.0,,unknown
Confiture de coing,Spreads & Dips,57.0,7.0,0.0,,d
Guimauves à la vanille,Candy & Chocolate,78.0,2.0,0.5,,unknown
Noix du Brésil,Nuts & Seeds,2.3,17.0,68.0,,unknown
Cookies au chocolat,Candy & Chocolate,36.0,6.7,22.0,3.4,e
Purée cacahuete crunchy,Nuts & Seeds,4.5,25.7,49.4,7.5,c
Fruchtaufstrich Himbeere,Spreads & Dips,45.0,0.6,0.6,1.72,d
Chewing-gum,Candy & Chocolate,0.0,0.0,0.0,0.0,not-applicable
Ohne Palmöl Vegan,Spreads & Dips,35.0,7.4,39.0,11.0,d
So vegan so fine,Spreads & Dips,51.0,2.8,36.0,3.5,e
Beurre de cacahuètes,Nuts & Seeds,5.0,23.0,57.0,6.3,b
Pépites de figue,Fruit Snacks,66.0,2.1,0.7,8.0,d
Mini macaron amandes,Candy & Chocolate,35.0,11.0,21.0,,d
